,TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
6038,2015-06-01 00:03:30,38990,22.09,32420,7.97,84.4,6.55,7.2,4.5
6039,2015-06-01 00:33:30,38991,22.02,30650,7.95,84.7,6.63,7.1,3.8
6040,2015-06-01 01:03:30,38992,22.02,29540,7.95,84.2,6.62,7.5,4.2
6041,2015-06-01 01:33:30,38993,21.99,29080,7.92,84.2,6.63,7.3,4.4
6042,2015-06-01 02:03:30,38994,21.99,28600,7.91,84.2,6.65,7.4,3.8
6043,2015-06-01 02:33:30,38995,21.97,28230,7.88,83.7,6.62,7.2,3.7
6044,2015-06-01 03:03:30,38996,21.96,28220,7.89,83.6,6.61,7.3,5.1
6045,2015-06-01 03:33:30,38997,21.98,27920,7.91,82.9,6.57,7.2,4.6
6046,2015-06-01 04:03:30,38998,21.98,28340,7.92,83.4,6.59,7.3,4.2
6047,2015-06-01 04:33:30,38999,21.86,28300,7.9,83.1,6.58,7.1,5.0
6048,2015-06-01 05:03:30,39000,21.83,28680,7.89,82.7,6.55,6.9,4.4
6049,2015-06-01 05:33:30,39001,21.84,29420,7.92,83.7,6.6,6.4,5.4
6050,2015-06-01 06:03:30,39002,21.75,29600,7.93,83.2,6.57,6.2,5.3
6051,2015-06-01 06:33:30,39003,21.77,30550,7.92,83.0,6.53,6.4,3.9
6052,2015-06-01 07:03:30,39004,21.87,31460,7.92,82.3,6.44,6.4,4.4
6053,2015-06-01 07:33:30,39005,21.89,31870,7.93,83.0,6.48,6.2,4.6
6054,2015-06-01 08:03:30,39006,21.93,31870,7.95,83.9,6.55,5.9,5.1
6055,2015-06-01 08:33:30,39007,22.03,33860,7.96,83.6,6.45,6.3,4.6
6056,2015-06-01 09:03:30,39008,22.06,34510,7.97,83.7,6.44,6.6,4.7
6057,2015-06-01 09:33:30,39009,22.1,34370,7.98,84.2,6.49,7.1,5.3
6058,2015-06-01 10:03:30,39010,22.18,34230,7.98,84.5,6.49,9.1,4.9
6059,2015-06-01 10:33:30,39011,22.27,33860,7.98,85.1,6.54,8.4,5.1
6060,2015-06-01 11:03:30,39012,22.31,33480,7.99,86.0,6.62,8.9,7.1
6061,2015-06-01 11:33:30,39013,22.35,32760,7.99,87.0,6.71,9.0,7.7
6062,2015-06-01 12:03:30,39014,22.41,32330,7.98,87.1,6.72,9.2,7.6
6063,2015-06-01 12:33:30,39015,22.51,31900,7.97,87.5,6.75,9.1,8.0
6064,2015-06-01 13:03:30,39016,22.52,30850,7.96,88.1,6.83,8.6,9.2
6065,2015-06-01 13:33:30,39017,22.59,29880,7.96,88.5,6.88,8.6,7.3
6066,2015-06-01 14:03:30,39018,22.6,28890,7.95,89.0,6.94,9.0,7.7
6067,2015-06-01 14:33:30,39019,22.66,28150,7.95,90.4,7.06,9.2,8.6
6068,2015-06-01 15:03:30,39020,22.67,27820,7.96,91.5,7.15,8.9,9.5
6069,2015-06-01 15:33:30,39021,22.63,27960,7.97,92.3,7.22,8.5,12.7
6070,2015-06-01 16:03:30,39022,22.56,28080,7.98,91.5,7.17,7.9,9.2
6071,2015-06-01 16:33:30,39023,22.44,28900,7.98,90.4,7.07,7.7,9.0
6072,2015-06-01 17:03:30,39024,22.45,29580,7.95,90.0,7.02,7.8,7.8
6073,2015-06-01 17:33:30,39025,22.33,30100,7.97,90.2,7.03,7.5,8.3
6074,2015-06-01 18:03:30,39026,22.32,30910,7.99,91.0,7.07,7.2,9.3
6075,2015-06-01 18:33:30,39027,22.26,31850,7.98,90.0,6.98,7.2,9.0
6076,2015-06-01 19:03:30,39028,22.23,33660,7.99,88.8,6.84,7.5,8.9
6077,2015-06-01 19:33:30,39029,22.19,34130,7.98,86.5,6.65,8.0,6.8
6078,2015-06-01 20:03:30,39030,22.09,34450,7.98,86.1,6.63,7.4,5.5
6079,2015-06-01 20:33:30,39031,22.16,35210,7.98,85.7,6.57,7.5,5.8
6080,2015-06-01 21:03:30,39032,22.1,35620,7.99,86.3,6.61,7.7,6.3
6081,2015-06-01 21:33:30,39033,21.99,35300,8.0,87.0,6.68,7.5,5.9
6082,2015-06-01 22:03:30,39034,21.94,35120,8.0,87.0,6.7,7.5,6.7
6083,2015-06-01 22:33:30,39035,21.89,34870,8.0,87.0,6.71,9.0,5.8
6084,2015-06-01 23:03:30,39036,21.89,34500,7.99,86.7,6.7,8.7,6.2
6085,2015-06-01 23:33:30,39037,21.85,34160,7.99,86.7,6.71,7.7,6.3
6086,2015-06-02 00:03:30,39038,21.81,33920,7.98,86.7,6.72,7.8,6.1
6087,2015-06-02 00:33:30,39039,21.66,33320,7.97,86.2,6.72,7.9,6.0
6088,2015-06-02 01:03:30,39040,21.57,32960,7.97,85.2,6.66,8.2,5.1
6089,2015-06-02 01:33:30,39041,21.43,32470,7.95,85.1,6.68,8.6,5.0
6090,2015-06-02 02:03:30,39042,21.33,32140,7.94,85.0,6.69,8.3,4.1
6091,2015-06-02 02:33:30,39043,21.19,31510,7.93,85.0,6.73,8.2,4.3
6092,2015-06-02 03:03:30,39044,21.08,31090,7.91,84.2,6.7,7.8,4.8
6093,2015-06-02 03:33:30,39045,20.84,30190,7.9,84.8,6.8,7.8,4.3
6094,2015-06-02 04:03:30,39046,20.64,29650,7.9,84.7,6.82,7.5,2.9
6095,2015-06-02 04:33:30,39047,20.68,30080,7.92,85.7,6.89,7.6,4.8
6096,2015-06-02 05:03:30,39048,20.92,31380,7.91,84.7,6.74,7.5,7.0
6097,2015-06-02 05:33:30,39049,20.96,31900,7.91,84.4,6.7,7.3,5.9
6098,2015-06-02 06:03:30,39050,20.75,31730,7.9,84.4,6.73,7.2,5.0
